#x=tau [fm/c]	y=eta	z=az Spin Potential
1.0008	-5.299999999999999	-0.03120638596266731
1.0008	-5.1	-0.03457343166979751
1.0008	-4.8999999999999995	-0.03832354955880471
1.0008	-4.699999999999999	-0.04250570523464969
1.0008	-4.499999999999999	-0.047178360004660316
1.0008	-4.299999999999999	-0.05240805428385664
1.0008	-4.1	-0.0582736662673062
1.0008	-3.8999999999999995	-0.06486715931338886
1.0008	-3.6999999999999993	-0.0722960108643216
1.0008	-3.499999999999999	-0.08068368411043736
1.0008	-3.299999999999999	-0.09017264340654241
1.0008	-3.0999999999999996	-0.10092360185310627
1.0008	-2.8999999999999995	-0.11309716575471468
1.0008	-2.6999999999999993	-0.1268840168470385
1.0008	-2.499999999999999	-0.14238004598637957
1.0008	-2.299999999999999	-0.15969673349856248
1.0008	-2.0999999999999996	-0.17872814178679597
1.0008	-1.8999999999999986	-0.19909076849534868
1.0008	-1.6999999999999993	-0.22000514028048263
1.0008	-1.5	-0.2398516018778275
1.0008	-1.299999999999999	-0.2560725883003482
1.0008	-1.0999999999999996	-0.2647507397246768
1.0008	-0.8999999999999986	-0.260997394541176
1.0008	-0.6999999999999993	-0.23890987322266713
1.0008	-0.4999999999999982	-0.19481128678875428
1.0008	-0.29999999999999893	-0.12830964289769672
1.0008	-0.09999999999999964	-0.04452470557880769
1.0008	0.10000000000000142	0.04527006178908447
1.0008	0.3000000000000007	0.12863854838026453
1.0008	0.5000000000000018	0.19462207978097934
1.0008	0.7000000000000011	0.23874255432716898
1.0008	0.9000000000000004	0.26045694123093793
1.0008	1.1000000000000014	0.2645254732137381
1.0008	1.3000000000000007	0.255940045510344
1.0008	1.5000000000000018	0.2398568471398047
1.0008	1.700000000000001	0.22001914963118932
1.0008	1.9000000000000004	0.19916514729944562
1.0008	2.1000000000000014	0.17877160464620767
1.0008	2.3000000000000007	0.15972968447252825
1.0008	2.5000000000000018	0.14241144629479852
1.0008	2.700000000000001	0.12688497160509501
1.0008	2.9000000000000004	0.1131100818981058
1.0008	3.1000000000000014	0.1009266263106768
1.0008	3.3000000000000007	0.09017555192337687
1.0008	3.5000000000000018	0.0806846925022752
1.0008	3.700000000000001	0.07229604795814482
1.0008	3.9000000000000004	0.06486690946085631
1.0008	4.100000000000001	0.05827333477654473
1.0008	4.300000000000001	0.05240765077487854
1.0008	4.500000000000002	0.0471778296882854
1.0008	4.700000000000001	0.042505625897513055
1.0008	4.9	0.038323094276965564
1.0008	5.100000000000001	0.03457326773346192
1.0008	5.300000000000001	0.031206130612047217
1.0008	5.500000000000002	0.02817895149912593
1.0008	5.700000000000001	0.02545456429608305
1.0008	5.9	0.02300025666282041
1.0008	6.1	0.020787781356681703
1.0008	6.3000000000000025	0.018791886578082742
1.0008	6.500000000000002	0.01699048198562566
1.0008	6.700000000000001	0.015363904370652737
1.0008	6.9	0.013894583991966383
1.0008	7.1	0.012566993537827458
1.0008	7.3000000000000025	0.01136709512417493
1.0008	7.500000000000002	0.010282422148935441
1.0008	7.700000000000001	0.00930173950514284
1.0008	7.9	0.008414930407941
1.0008	8.1	0.007612951574994748
1.0008	8.300000000000002	0.006887584578178364
1.0008	8.500000000000002	0.0062314846415202265
1.0008	8.700000000000001	0.005637993613271511
1.0008	8.9	0.005101100388913695
1.0008	9.100000000000003	0.004615404025711787
1.0008	9.300000000000002	0.004175985894074181
1.0008	9.500000000000002	0.003778449649511365
1.0008	9.700000000000001	0.0034187738963316716
1.0008	9.9	0.003093337332975711
1.0008	10.100000000000003	0.0027989187520163694
1.0015999999999998	-10.1	-0.0027978029542620854
1.0015999999999998	-9.9	-0.0030921042629635928
1.0015999999999998	-9.7	-0.003417411646363533
1.0015999999999998	-9.5	-0.003776944891715471
1.0015999999999998	-9.299999999999999	-0.004174337183576921
1.0015999999999998	-9.1	-0.00461356982705388
1.0015999999999998	-8.899999999999999	-0.005099090261553541
1.0015999999999998	-8.7	-0.005635766038397058
1.0015999999999998	-8.5	-0.006229029065401583
1.0015999999999998	-8.299999999999999	-0.006884880833754939
1.0015999999999998	-8.1	-0.007609947927019345
1.0015999999999998	-7.8999999999999995	-0.008411643709996043
1.0015999999999998	-7.699999999999999	-0.009298097417758876
1.0015999999999998	-7.5	-0.01027842151483467
1.0015999999999998	-7.299999999999999	-0.011362698475586614
1.0015999999999998	-7.1	-0.01256212075839888
1.0015999999999998	-6.8999999999999995	-0.013889277428629138
1.0015999999999998	-6.699999999999999	-0.015358029466611236
1.0015999999999998	-6.5	-0.0169840803075689
1.0015999999999998	-6.299999999999999	-0.018784890465267667
1.0015999999999998	-6.1	-0.020780069492197774
1.0015999999999998	-5.8999999999999995	-0.0229919653677225
1.0015999999999998	-5.699999999999999	-0.02544541034798427
1.0015999999999998	-5.499999999999999	-0.028169181476740163
1.0015999999999998	-5.299999999999999	-0.03119560208353379
1.0015999999999998	-5.1	-0.034561849115640836
1.0015999999999998	-4.8999999999999995	-0.03831119025725197
1.0015999999999998	-4.699999999999999	-0.04249262352784965
1.0015999999999998	-4.499999999999999	-0.04716465719961002
1.0015999999999998	-4.299999999999999	-0.05239389064300903
1.0015999999999998	-4.1	-0.05825928066565993
1.0015999999999998	-3.8999999999999995	-0.06485289108962225
1.0015999999999998	-3.6999999999999993	-0.07228232375605856
1.0015999999999998	-3.499999999999999	-0.08067119794308242
1.0015999999999998	-3.299999999999999	-0.09016216411232396
1.0015999999999998	-3.0999999999999996	-0.10091616007498493
1.0015999999999998	-2.8999999999999995	-0.1130940467021847
1.0015999999999998	-2.6999999999999993	-0.1268868115181074
1.0015999999999998	-2.499999999999999	-0.14239063763690718
1.0015999999999998	-2.299999999999999	-0.15971735344434107
1.0015999999999998	-2.0999999999999996	-0.1787613005292772
1.0015999999999998	-1.8999999999999986	-0.19913909977751074
1.0015999999999998	-1.6999999999999993	-0.22007127006025723
1.0015999999999998	-1.5	-0.23993738344287327
1.0015999999999998	-1.299999999999999	-0.2561785283063005
1.0015999999999998	-1.0999999999999996	-0.2648743861518492
1.0015999999999998	-0.8999999999999986	-0.2611322338103135
1.0015999999999998	-0.6999999999999993	-0.23904345707570676
1.0015999999999998	-0.4999999999999982	-0.19492693343371384
1.0015999999999998	-0.29999999999999893	-0.12838885089154872
1.0015999999999998	-0.09999999999999964	-0.04455259908684714
1.0015999999999998	0.10000000000000142	0.04529868483040985
1.0015999999999998	0.3000000000000007	0.12871807829737167
1.0015999999999998	0.5000000000000018	0.19473745505509824
1.0015999999999998	0.7000000000000011	0.2388759645687611
1.0015999999999998	0.9000000000000004	0.2605912197213227
1.0015999999999998	1.1000000000000014	0.2646489526538866
1.0015999999999998	1.3000000000000007	0.25604588726411515
1.0015999999999998	1.5000000000000018	0.23994270194550654
1.0015999999999998	1.700000000000001	0.22008529625713805
1.0015999999999998	1.9000000000000004	0.19921356802174695
1.0015999999999998	2.1000000000000014	0.178804800341559
1.0015999999999998	2.3000000000000007	0.15975033243379133
1.0015999999999998	2.5000000000000018	0.14242205796840224
1.0015999999999998	2.700000000000001	0.12688776671772026
1.0015999999999998	2.9000000000000004	0.11310696881903155
1.0015999999999998	3.1000000000000014	0.10091918526141397
1.0015999999999998	3.3000000000000007	0.09016507333007659
1.0015999999999998	3.5000000000000018	0.08067220578952462
1.0015999999999998	3.700000000000001	0.07228236082981941
1.0015999999999998	3.9000000000000004	0.064852640172745
